"vx","vy","Points:0","Points:1","Points:2"
-1.4231094360e+02,8.8282446289e+02,-2.7763112500e+05,-9.3136437500e+05,0.0000000000e+00
-1.4237655640e+02,8.8391003418e+02,-2.7762315625e+05,-9.3141375000e+05,0.0000000000e+00
-1.4244438171e+02,8.8498986816e+02,-2.7761521875e+05,-9.3146306250e+05,0.0000000000e+00
-1.4243374634e+02,8.8608441162e+02,-2.7760728125e+05,-9.3151243750e+05,0.0000000000e+00
-1.4218328857e+02,8.8722467041e+02,-2.7759934375e+05,-9.3156181250e+05,0.0000000000e+00
-1.4193041992e+02,8.8834429932e+02,-2.7759143750e+05,-9.3161118750e+05,0.0000000000e+00
-1.4167517090e+02,8.8944342041e+02,-2.7758356250e+05,-9.3166056250e+05,0.0000000000e+00
-1.4141752625e+02,8.9052203369e+02,-2.7757571875e+05,-9.3170993750e+05,0.0000000000e+00
-1.4115751648e+02,8.9158026123e+02,-2.7756787500e+05,-9.3175931250e+05,0.0000000000e+00
-1.4089515686e+02,8.9261822510e+02,-2.7756006250e+05,-9.3180868750e+05,0.0000000000e+00
-1.4063043213e+02,8.9363598633e+02,-2.7755228125e+05,-9.3185812500e+05,0.0000000000e+00
-1.4036335754e+02,8.9463366699e+02,-2.7754453125e+05,-9.3190750000e+05,0.0000000000e+00
-1.4009396362e+02,8.9561126709e+02,-2.7753678125e+05,-9.3195687500e+05,0.0000000000e+00
-1.3984083557e+02,8.9655413818e+02,-2.7752906250e+05,-9.3200631250e+05,0.0000000000e+00
-1.3971295166e+02,8.9738262939e+02,-2.7752137500e+05,-9.3205568750e+05,0.0000000000e+00
-1.3958341980e+02,8.9820361328e+02,-2.7751368750e+05,-9.3210512500e+05,0.0000000000e+00
-1.3945223999e+02,8.9901702881e+02,-2.7750603125e+05,-9.3215450000e+05,0.0000000000e+00
-1.3931964111e+02,8.9982037354e+02,-2.7749837500e+05,-9.3220393750e+05,0.0000000000e+00
-1.3918713379e+02,9.0060668945e+02,-2.7749071875e+05,-9.3225331250e+05,0.0000000000e+00
-1.3905451965e+02,9.0138543701e+02,-2.7748309375e+05,-9.3230275000e+05,0.0000000000e+00
-1.3892181396e+02,9.0215661621e+02,-2.7747546875e+05,-9.3235218750e+05,0.0000000000e+00
-1.3878898621e+02,9.0292034912e+02,-2.7746787500e+05,-9.3240156250e+05,0.0000000000e+00
-1.3865606689e+02,9.0367651367e+02,-2.7746028125e+05,-9.3245100000e+05,0.0000000000e+00
-1.3852305603e+02,9.0442523193e+02,-2.7745271875e+05,-9.3250043750e+05,0.0000000000e+00
-1.3835006714e+02,9.0508117676e+02,-2.7744515625e+05,-9.3254987500e+05,0.0000000000e+00
-1.3817544556e+02,9.0573760986e+02,-2.7743759375e+05,-9.3259931250e+05,0.0000000000e+00
-1.3799885559e+02,9.0639379883e+02,-2.7743006250e+05,-9.3264868750e+05,0.0000000000e+00
-1.3782031250e+02,9.0704968262e+02,-2.7742253125e+05,-9.3269812500e+05,0.0000000000e+00
-1.3763981628e+02,9.0770532227e+02,-2.7741503125e+05,-9.3274756250e+05,0.0000000000e+00
-1.3745738220e+02,9.0836065674e+02,-2.7740756250e+05,-9.3279700000e+05,0.0000000000e+00
-1.3727299500e+02,9.0901568604e+02,-2.7740006250e+05,-9.3284643750e+05,0.0000000000e+00
-1.3708668518e+02,9.0967047119e+02,-2.7739262500e+05,-9.3289587500e+05,0.0000000000e+00
-1.3689843750e+02,9.1032495117e+02,-2.7738518750e+05,-9.3294531250e+05,0.0000000000e+00
-1.3670826721e+02,9.1097912598e+02,-2.7737775000e+05,-9.3299481250e+05,0.0000000000e+00
-1.3649639893e+02,9.1157519531e+02,-2.7737034375e+05,-9.3304425000e+05,0.0000000000e+00
-1.3628273010e+02,9.1216723633e+02,-2.7736293750e+05,-9.3309368750e+05,0.0000000000e+00
-1.3606974792e+02,9.1276220703e+02,-2.7735556250e+05,-9.3314312500e+05,0.0000000000e+00
-1.3585743713e+02,9.1336010742e+02,-2.7734818750e+05,-9.3319256250e+05,0.0000000000e+00
-1.3564578247e+02,9.1396093750e+02,-2.7734084375e+05,-9.3324206250e+05,0.0000000000e+00
-1.3543481445e+02,9.1456463623e+02,-2.7733350000e+05,-9.3329150000e+05,0.0000000000e+00
-1.3522450256e+02,9.1517126465e+02,-2.7732618750e+05,-9.3334093750e+05,0.0000000000e+00
-1.3501486206e+02,9.1578076172e+02,-2.7731890625e+05,-9.3339043750e+05,0.0000000000e+00
-1.3480589294e+02,9.1639312744e+02,-2.7731162500e+05,-9.3343987500e+05,0.0000000000e+00
-1.3459757996e+02,9.1700836182e+02,-2.7730434375e+05,-9.3348937500e+05,0.0000000000e+00
-1.3436967468e+02,9.1761425781e+02,-2.7729709375e+05,-9.3353881250e+05,0.0000000000e+00
-1.3413458252e+02,9.1821459961e+02,-2.7728984375e+05,-9.3358831250e+05,0.0000000000e+00
-1.3389753723e+02,9.1881207275e+02,-2.7728262500e+05,-9.3363781250e+05,0.0000000000e+00
-1.3365856934e+02,9.1940679932e+02,-2.7727543750e+05,-9.3368725000e+05,0.0000000000e+00
